Energy_eV,Averaged_Absorbance
3.395957714849099141e+00,6.642677767109503133e-03
3.388626239991255229e+00,7.190100473361225701e-03
3.381326352530540813e+00,6.954530412486849798e-03
3.374057848766020218e+00,7.550478707260576718e-03
3.366820526744501496e+00,7.296388175282295628e-03
3.359614186241838052e+00,8.085460466120722792e-03
3.352438628744457638e+00,8.121991934507142089e-03
3.345203409949282225e+00,8.298123133082674352e-03
3.338089213126227861e+00,8.194243379978656538e-03
3.331005211411379285e+00,9.361328744080490288e-03
3.323951212974132208e+00,8.739465574118445573e-03
3.317015755824840095e+00,9.169963642380811464e-03
3.310020821098713206e+00,9.576526727704967601e-03
3.303055326176713269e+00,9.958903311058283150e-03
3.296119085592769782e+00,1.059885670338250353e-02
3.289211915435422462e+00,1.078815478552774820e-02
3.282333633331568912e+00,1.113918070690486303e-02
3.275484058430409018e+00,1.133967397752873481e-02
3.268663011387599848e+00,1.219110187574201469e-02
3.261870314349598843e+00,1.263868307471105977e-02
3.255105790938205512e+00,1.307576429328868861e-02
3.248369266235297204e+00,1.368872175277124903e-02
3.241660566767750939e+00,1.460000534255243357e-02
3.234979520492551774e+00,1.597734212867575262e-02
3.228325956782087669e+00,1.610244140842177069e-02
3.221783413011847674e+00,1.691027653316704016e-02
3.215183965566416724e+00,1.768586465543581579e-02
3.208611499249598875e+00,1.887369058660769150e-02
3.202065848934796843e+00,1.991717053333819445e-02
3.195546850840119468e+00,2.085481167309220438e-02
3.189054342514723750e+00,2.125844193737394180e-02
3.182669849336515977e+00,2.253999612955002660e-02
3.176229508196721341e+00,2.298827134593705787e-02
3.169815179324624754e+00,2.400282253708778055e-02
3.163426705444155385e+00,2.510279635245343810e-02
3.157063930544593777e+00,2.604473176240224008e-02
3.150806758988692557e+00,2.688584157541647895e-02
3.144494598569762545e+00,2.773261863080642847e-02
3.138207678485561924e+00,2.830436115200456182e-02
3.131945847645988934e+00,2.972382411759398949e-02
3.125787748928661625e+00,2.999399410982596381e-02
3.119575335228559343e+00,3.213557647659497085e-02
3.113387566536105489e+00,3.169736611635826096e-02
3.107224296489337956e+00,3.326809840979205735e-02
3.101162936101037548e+00,3.393396549409297830e-02
3.095047923322683747e+00,3.453715095475667907e-02
3.088956978800787123e+00,3.547611278991148753e-02
3.082966609482608700e+00,3.643224421604839697e-02
3.076923076923077094e+00,3.758803559023413815e-02
3.070903192253398917e+00,3.837065089534831552e-02
3.064982574091010381e+00,3.907128384951820410e-02
3.059009275705545594e+00,3.997384723573307874e-02
3.053059214575895908e+00,4.071149024820402973e-02
3.047207136362519275e+00,4.091040096545952437e-02
3.041302854900421515e+00,4.173755716612632255e-02
3.035495716034271929e+00,4.264733925964004496e-02
3.029636687922988347e+00,4.424056821244379961e-02
3.023800234100663342e+00,4.416755217048802529e-02
3.018059679696246889e+00,4.619096653446719963e-02
3.012267703145876663e+00,4.620421118096260799e-02
3.006570812016584604e+00,4.710361958036889812e-02
3.000822806253327535e+00,4.812736792321869322e-02
2.995096736793797287e+00,4.877290732368184251e-02
2.989464548325658555e+00,5.019093793675223625e-02
2.983781702680591064e+00,5.022970478080239498e-02
2.978191949274666239e+00,5.184935657112743623e-02
2.972551839865755774e+00,5.278897268724771358e-02
2.967004043739382091e+00,5.301425690441038258e-02
2.961406190294229912e+00,5.383997525755006980e-02
2.955899880810488600e+00,5.488285501267610444e-02
2.950343810226272012e+00,5.533742540366070467e-02
2.944878523760894762e+00,5.693739570896478447e-02
2.939363769971080398e+00,5.712875776103792241e-02
2.933939049782320563e+00,5.865972014309731725e-02
2.928465153626337081e+00,5.888339264379583576e-02
2.923080549727729238e+00,5.999205756754164703e-02
2.917647058823529260e+00,6.084212263751928584e-02
2.912302127859458079e+00,6.196358119508035139e-02
2.906976744186046346e+00,6.227742334369821414e-02
2.901602901602901241e+00,6.321263811091233642e-02
2.896316539368883447e+00,6.356970955678069302e-02
2.890982001305604676e+00,6.499730657928261268e-02
2.885734233185943687e+00,6.611274887660856248e-02
2.880505482252369465e+00,6.770733477923097932e-02
2.875228974888121236e+00,6.828610980677686515e-02
2.870038190024302605e+00,6.844354998359168663e-02
2.864799926069679703e+00,6.910881475586756750e-02
2.859646695263133420e+00,7.052861976815844036e-02
2.854511970534070020e+00,7.146051234947327357e-02
2.849330177623566662e+00,7.137080294090819566e-02
2.844232401312016822e+00,7.288541742866966322e-02
2.839152833428734812e+00,7.384990957510857712e-02
2.834026603281985413e+00,7.445820774961733890e-02
2.828983391129768155e+00,7.561338271271045297e-02
2.823958096105670723e+00,7.618482931882397668e-02
2.818950622897153924e+00,7.726966264703132026e-02
2.813897020446138875e+00,7.801168684426129651e-02
2.808925133084154702e+00,7.849893888525466545e-02
2.803970784433439611e+00,7.927463407081403179e-02
2.799033881853682626e+00,8.083720878969313794e-02
2.794051374493014883e+00,8.113051879587644677e-02
2.789149309460614568e+00,8.281598404410066283e-02
2.784264415304472884e+00,8.313488515350260510e-02
2.779396601963509461e+00,8.399459035661012429e-02
2.774483699908262935e+00,8.536709167289700806e-02
2.769649996649616863e+00,8.640235719610891985e-02
2.764833106646747751e+00,8.735895342509250594e-02
2.760032942328666472e+00,8.866785547028069314e-02
2.755249416731474277e+00,8.910692544907347634e-02
2.750421435542543147e+00,9.003039398247503211e-02
2.745671139453522702e+00,9.075696113831030476e-02
2.740937223695844693e+00,9.213114572029250382e-02
2.736219603689483026e+00,9.281023841738526847e-02
2.731518195435721275e+00,9.422879847836569678e-02
2.726832915512160671e+00,9.510882171008104569e-02
2.722163681067790719e+00,9.624035971512445720e-02
2.717450855777870267e+00,9.768001054288752427e-02
2.712813669080487600e+00,9.841171872421786149e-02
2.708192281651997213e+00,9.961481751484602132e-02
2.703586612885642726e+00,1.000081951500520067e-01
2.698996582722068549e+00,1.014438398128840735e-01
2.694422111644684037e+00,1.022800594524379270e-01
2.689863120675068942e+00,1.030034562242446716e-01
2.685319531368430379e+00,1.052288780195714119e-01
2.680791265809101542e+00,1.052811413728387546e-01
2.676278246606090594e+00,1.064289524377463048e-01
2.671780396888668641e+00,1.072127216956936663e-01
2.667297640302007000e+00,1.089623057719596722e-01
2.662829901002856214e+00,1.100878719323958865e-01
2.658377103655268581e+00,1.105808148821430525e-01
2.653939173426363762e+00,1.121169865122722126e-01
2.649516035982137030e+00,1.124110374912915267e-01
2.645107617483307916e+00,1.140702327031794944e-01
2.640713844581212832e+00,1.154971428618661727e-01
2.636334644413734107e+00,1.165506578268519500e-01
2.631969944601277867e+00,1.170231944968435772e-01
2.627619673242779008e+00,1.187191157511922474e-01
2.623283758911760355e+00,1.199419387954400867e-01
2.618962130652417120e+00,1.208334355953570305e-01
2.614654717975751108e+00,1.219255844260217769e-01
2.610361450855735566e+00,1.233403353814749442e-01
2.606082259725520878e+00,1.239913953666654522e-01
2.601817075473677576e+00,1.256622483536499468e-01
2.597565829440475760e+00,1.267593355764352336e-01
2.593328453414200485e+00,1.279826896528660496e-01
2.589158940950471610e+00,1.287179467181081838e-01
2.584948926412341308e+00,1.303220046861774395e-01
2.580752580752580627e+00,1.315600106118749446e-01
2.576569837509870009e+00,1.329595948450842391e-01
2.572400630653057796e+00,1.339046684544983323e-01
2.568244894577689230e+00,1.349976368570802721e-01
2.564102564102563875e+00,1.360835795447407903e-01
2.560026426079236916e+00,1.376662393238961002e-01
2.555910543130990753e+00,1.390790902183157152e-01
2.551807873562035756e+00,1.403338145127456527e-01
2.547718353845205730e+00,1.412342209269473181e-01
2.543641920859915029e+00,1.427214241389432314e-01
2.539630524720435822e+00,1.437069742443411735e-01
2.535579911663667474e+00,1.452164983376026397e-01
2.531542199175207397e+00,1.466081669315308922e-01
2.527517325723603658e+00,1.479805367988120401e-01
2.523556586686203751e+00,1.492533882461160311e-01
2.519557045616174218e+00,1.509286485315163850e-01
2.515570162091980588e+00,1.521882005861234233e-01
2.511595876121610171e+00,1.537055831009232487e-01
2.507684840640672874e+00,1.547584364704820414e-01
2.503735411702944003e+00,1.562222441697003472e-01
2.499798403354568155e+00,1.578566262815716270e-01
2.495923995088665581e+00,1.590737094453834322e-01
2.492011495407866040e+00,1.611962359710368276e-01
2.488111242651042332e+00,1.622312736288550883e-01
2.484272949473093739e+00,1.637479749082453861e-01
2.480396863498159465e+00,1.649211642219610974e-01
2.476532854004394046e+00,1.666398693660283148e-01
2.472730173290525801e+00,1.683369559903437340e-01
2.468889995022399031e+00,1.697291196763777432e-01
2.465061725940798976e+00,1.710859066991639033e-01
2.461294164350932956e+00,1.725692417550065416e-01
2.457489397122359254e+00,1.748788463087954936e-01
2.453696374861484841e+00,1.762172162671814257e-01
2.449963448125975773e+00,1.775753834974102552e-01
2.446193604387366438e+00,1.793208448790441500e-01
2.442483454144342758e+00,1.808427737361529286e-01
2.438736577115210746e+00,1.829329053000179062e-01
2.435048995542289152e+00,1.849256550834679214e-01
2.431324875982824096e+00,1.861585785101406154e-01
2.427612130229644283e+00,1.879923901684001919e-01
2.423958088982719694e+00,1.896692780789272226e-01
2.420267790920092033e+00,1.917396459491077787e-01
2.416635809085771136e+00,1.931136922932257249e-01
2.412967755745393017e+00,1.948653649660113674e-01
2.409357634166245710e+00,1.968334649024207350e-01
2.405711625019400834e+00,1.986443836637092897e-01
2.402123166928188169e+00,2.003218769587069015e-01
2.398499003849204225e+00,2.023823299310843760e-01
2.394932014833127454e+00,2.040891866709027003e-01
2.391329502063486157e+00,2.053243959755820525e-01
2.387783790029077480e+00,2.075653840573336018e-01
2.384202734142167657e+00,2.091968365554467135e-01
