Energy_eV,Experimental_Abs,Total_Model,Vib_0-0,Vib_0-1,Vib_0-2,Vib_0-3,Vib_0-4
3.395957714849099141e+00,6.642677767109503133e-03,7.799645943426810131e-33,1.078377256205838046e-91,1.279701082911818359e-73,7.437970451240583637e-58,2.826310507713710624e-44,7.799645943398547419e-33
3.388626239991255229e+00,7.190100473361225701e-03,2.326804900788708366e-32,7.161801496292270212e-91,6.957695408841892743e-73,3.310691790203241038e-57,1.029896570029354687e-43,2.326804900778409096e-32
3.381326352530540813e+00,6.954530412486849798e-03,6.849808554551618583e-32,4.677456359392642455e-90,3.723338962784572022e-72,1.451669379158209759e-56,3.700210032972241601e-43,6.849808554514616640e-32
3.374057848766020218e+00,7.550478707260576718e-03,1.990175680897043579e-31,3.004719295648644560e-89,1.961455243689741136e-71,6.271440480826402644e-56,1.310936683216231480e-42,1.990175680883934432e-31
3.366820526744501496e+00,7.296388175282295628e-03,5.707676101689688988e-31,1.898780418266886357e-88,1.017350217082990489e-70,2.669824479995202789e-55,4.580600650105349590e-42,5.707676101643882293e-31
3.359614186241838052e+00,8.085460466120722792e-03,1.616001777091784625e-30,1.180569169217267809e-87,5.196077471759200209e-70,1.120155629323127623e-54,1.578739872925738467e-41,1.616001777075997246e-30
3.352438628744457638e+00,8.121991934507142089e-03,4.517497634121334356e-30,7.223079126612186112e-87,2.613724711709308798e-69,4.632526916068115375e-54,5.367937952257185784e-41,4.517497634067654816e-30
3.345203409949282225e+00,8.298123133082674352e-03,1.263086877750439787e-29,4.448984440172934597e-86,1.321431110674011340e-68,1.922431565409041710e-53,1.828481874903583393e-40,1.263086877732155084e-29
3.338089213126227861e+00,8.194243379978656538e-03,3.443043506873279439e-29,2.636550273251114693e-85,6.449116944629108944e-68,7.726614044701083475e-53,6.052203791970918505e-40,3.443043506812757919e-29
3.331005211411379285e+00,9.361328744080490288e-03,9.270408378194696989e-29,1.538249639642847680e-84,3.101197701326604165e-67,3.062378717015401650e-52,1.977086356325677758e-39,9.270408377996988349e-29
3.323951212974132208e+00,8.739465574118445573e-03,2.465803779738033373e-28,8.836870711073853488e-84,1.469586573607247103e-66,1.197073167293720490e-51,6.375077148688063213e-39,2.465803779674282589e-28
3.317015755824840095e+00,9.169963642380811464e-03,6.401738254819458053e-28,4.891366356937583995e-83,6.731717683597043075e-66,4.537874084535084499e-51,1.999954498409911772e-38,6.401738254619462046e-28
